Date,Reference,Description,Debit,Credit
2025-08-19,,Opening,0.0,0.0
2025-08-19,H-O-PB283-0001955,"Being Share Purchased GBIME-1000
@925.00",1046721.56,0.0
2025-08-28,H-O-RCV283-000314,"Received in BANK from BISHAL YAKHA
[BY75001] of Global IME Bank Limited",0.0,1046721.56
2025-09-02,H-O-PB283-0002659,"Being Share Purchased SAPDBTM-300
@905.00",272461.68,0.0
2025-09-15,H-O-RCV283-000347,"Received in BANK from BISHAL YAKHA
[BY75001] of Global IME Bank Limited",0.0,272461.67
2025-09-24,H-O-PB283-0003189,"Being Share Purchased MNBBL-400
@457.00",183455.66,0.0
2025-10-13,H-O-PB283-0003612,"Being Share Purchased SAPDBTM-200
@845.00",169608.05,0.0
2025-10-15,H-O-RCV283-000566,"Received in BANK from BISHAL YAKHA
[BY75001] of Global IME Bank Limited",0.0,169608.05
2025-10-30,H-O-RCV283-000648,"Received in BANK from BISHAL YAKHA
[BY75001] of Global IME Bank Limited",0.0,183455.66
